updated_description,updated_keywords,__index_level_0__,generated_keywords
"The fourth Rua Local Area Plan 2015-2021 as incorporated into the
Galway County Development Plan, 2012-2021, by way
of a variation to the existing county development plan. Galway County Council provides this information with the understanding that it is not guaranteed to be accurate, correct, or complete. Galway County Council accepts no liability for any loss or damage suffered by those using this data for any purpose.","An Cheathru Rua, Carraroe, Galway, Housing and Zoning, Local Area Plan, Planning and Development, Zoning, dgihousing",1724,"Galway, Housing and Zoning, Local Area Plan, Planning, Planning and Development, Rua, Zonation, dgihousing"
Labour productivity and unit labour costs at industry level,"Geopolitical entity (reporting), Time frequency, Unit of measure",716,"Geopolitical entity (reporting), Time frequency, Unit of measure"
Location of the Wi-Fi terminals in the city of La Rochelle that offer access to the Web.,"bornes, espace-public, hotspot, la-rochelle, localisation, telecommunication, wifi",894,"accès, services, wifi"
Over-qualification rates by economic activity (NACE Rev. 2),"Age class, Geopolitical entity (reporting), Sex, Time frequency, Unit of measure",1315,"Geopolitical entity (reporting), Sex, Time frequency, Unit of measure"
Fat contents and protein contents (cow's milk) - annual data,"Geopolitical entity (reporting), Item of milk, Milk product, Time frequency",496,"Geopolitical entity (reporting), Time frequency, Unit of measure"
Those who experienced stalking with fear of sexual violence and disclosed to others by who they disclosed to (% of persons aged 18 years and over who experienced stalking with fear of sexual violence in the previous 12 months and disclosed),"SVS268, crime-and-justice, cso",2618,"SVS279, crime-and-justice, cso"
"This feature class shows the location of Lighthouses around Ireland. The Commissioners for Irish Lights are responsible for the superintendence and management of all aids to marine navigation around the coast of Ireland and its adjacent waters.
There are 80 Lighthouses around the coast of Ireland. They were Originally built to aid ships travelling on dangerous waters, and are still used today by mariners to determine position and safe courses. All the Lighthouses are now automated, the Bailey in Co. Dublin being the last to be manned until 1997.","coastal heritage, environment, heritage council, lighthouses, oceans, sea regions, structure",424,"coastal heritage, environment, historic buildings, marine institute, oceans, society"
"Here you will find an overview of the e-charging stations in the city area of Heidelberg. 
 
In addition to location information, the list overview also contains information on the charging device and plug connection types.","charging-station, charging-station-infrastructure, e-ladestationen, e-mobility, e-mobilität, electric-vehicles, ladesäuleninfrastruktur",3056,"car-charging, e-mobility, energy-saving, ie, info-map, electric-vehicle"
"This polygon file contains river Catchments in which live pearl Mussels have been recorded.

The catchment limits are based on sub-basin boundaries from the EPA Water Framework Directive geodatabase (filename: EPA_WFD_v3.mdb), and Catchments are divided up into three categories:
1. Catchments of SAC populations listed in S.I. 296 of 2009
2. Catchments of other extant populations
3. Catchments with previous records of Margaritifera, but current status unknown","environment, environmental policy, freshwater, ie, protected sites, protected species, waterbody",293,"Marine essentials, Margaritifera, Rivers, dgienvironment"
"Fingal Development Plan 2017-2023. The Plan sets out the policies and objectives for the development of the County over the Plan period. Included in the Zip file are Shapefiles in ITM. It contains – Zoning Objectives - Adopted Dev Plan 2017-2023 Full details of all structures and their locations are contained in Appendix 3 of the Development Plan Written Statement Appendices, which can be found at www.fingal.ie","Development, Development Plan 2017-2023, FCC, Fingal County Council, Open Data, Plan, Planning, Planning  Cadastral",525,"2017-2023, Development Plan, Dublin, Fingal, Fenchurch Street, Ireland, Planning Cadastral, Planning Department"
"Since the mid-1950s, the number of amphibians being killed on roads has increased dramatically. Every year, hundreds of thousands of amphibians cross roads in Switzerland during their migration between land habitats and spawning grounds and are often killed on the roads if there are no protective measures in place. Not only is this a safety problem for traffic, but it is also causing massive declines in amphibian populations. Migration within populations always occurs along more or less the same migration routes. Migration is seasonal and allows temporary use of different, spatially distinct habitat types. These migration movements are essential to the survival of the populations. Info fauna karch keeps a database of conflict sites between amphibian migration and transport infrastructure. There are currently just under 2,000 known conflict sites, known as “amphibian migration sites”. Depending on the size of the amphibian population, traffic density and the possibilities on site, the protection measures included here are implemented, such as installing small animal tunnels and guiding devices, temporary amphibian fences, temporary road closures or temporary patrols. The known conflict sites of amphibian migration in Switzerland are included in this geodata set and can be visualised.","amphibian, crossing-place-for-animals, environment, fsdi-federal-spatial-data-infrastructure, habitats-and-biotopes, transport, transport-networks",1501,"fauna, transport, population-trends, protected sites, venomous animals, transportation"
"The Current account provides information about the transactions of a country with the rest of the world. It covers all transactions (other than those in financial items) in goods, services, primary income, and secondary income which occur between resident and non-resident units. The data are expressed in Million units of national currency. The financial flows are marked as a credit, a debit or a balance. The current account together with the capital and the financial accounts forms the Balance of Payments (BoP). The indicator is based on the BoP data reported to Eurostat by the EU Member States. Starting from October 2014 definitions are based on the IMF's Sixth Balance of Payments Manual (BPM6).","BOP_item, Currency, Geopolitical entity (partner), Geopolitical entity (reporting), Sector (ESA 2010), Stock or flow, Time frequency",1864,"BOP_item, Geopolitical entity (partner), Geopolital entity (reporting), Seasonal adjustment, Stock or flow, Time frequency, Unit of measure"
"Oranmore Local Area Plan 2012 - 2022. Galway County Council provides this information with the understanding that it is not guaranteed to be accurate, correct, or complete. Galway County Council accepts no liability for any loss or damage suffered by those using this data for any purpose.","Galway, Housing and Zoning, Local Area Plan, Oranmore, Planning, Planning and Development, Zoning, dgihousing",773,"Oranmore, Galway, Housing and Zoning, Local Area Plan, Planning, planning and development"
Each Local Electoral Area boundaries within Fingal.,"Admin Boundaries, Administrative Boundaries, Corporate, Environment, FCC, Fingal County Council, Government, Government and Participation, Open Data, Population, Society, Townlands",564,"council, dgigovernment, local election areas, map"
"Strategic Flood Risk assessments relating to the settlements contained in the 2022 to 2028 County Development Plan. See Volume 2 and www.galway.ie for further details. Zone A: Where the probability of flooding from rivers and the sea is highest (greater than 1% or 1 in 100 for river flooding or 0.5% or 1 in 200 for coastal flooding) Zone B: Where the probability of flooding from rivers and the sea is moderate (between 0.1% or 1 in 1000 and 1% or 1 in 100 for river flooding and between 0.1% or 1 in 1000 year and 0.5% or 1 in 200 for coastal flooding) Galway County Council provides this information with the understanding that it is not guaranteed to be accurate, correct, or complete. Galway County Council accepts no liability for any loss or damage suffered by those using this data for any purpose","2022, CDP 2022, Development Plan, Flood, Galway, Galway County Council, Planning, Planning and Development, SFRA, dgihousing",762,"2022, CDP 2022 & 2028, Housing and Zoning, Planning, Planning and Development, dgihousing"
"The National Forest Inventory (NFI) is a periodic survey of condition and development of the Swiss forest. It is produced in close cooperation between the Federal Office for the Environment (FOEN) and the Swiss Federal Institute for Forest, Snow and Landscape Research (WSL). This record contains information about: basal area of deadwood per forest area, volume of deadwood (stemwood) and volume of deadwood (stemwood) per forest area","forest, forestry, national-forest-inventory",1338,"forest, forestry, national-forest-inventory"
"A country’s terms of trade measures a country's export prices in relation to its import prices. The terms of trade are a measure of a country's trade competitiveness since they indicate how much imports an economy can get for a unit of export goods and services. They are calculated as the ratio of the price index for exports of goods and services to the price index for imports of goods and services. These are obtained by dividing current prices by chain-linked volumes using the standard reference year 2015. The indicator refers to the percentage change over 5 years, i.e. data are expressed as percentage change comparing year Y with the year Y–5","Geopolitical entity (reporting), Time frequency, Unit of measure",165,"Geopolitical entity (partner), Geopolitics, Time frequency, Unit of measure"
Ireland’s Tax Statistics,"ITXS01, cso, government-accounts",2510,"ITA05, cso, revenue-commissioners-tax-and-customs-statistics"
Ports of vegetables consumed,"HIS40, cso, department-of-health",2524,"HIS25, cso, department-of-health"
Unemployment by sex and age – annual data,"Age class, Geopolitical entity (reporting), Sex, Time frequency, Unit of measure",1152,"Age class, Geopolitical entity (reporting), Sex, Time frequency, Unit of measure"
Location of bicycle stands within the South Dublin County Council administrative area as of December 2022. This dataset includes the number of senior and junior stands completed / under construction / planned for the future at each location.,"Active Travel, Bicycle stand, Bike stand, SDCC, Transport, Transportation, dgitransport",529,"Bike stands, Cycling, Environment, Environment and Energy, SDC, Transportation, Transport and Infrastructure"
"Data from the ‘Bernard Lyot telescope at the Pic du Midi’ (TBL): The mission of the Bernard Lyot Telescope is to produce astronomical data for the professional astronomy community. This observatory is part of the Montpellier Research Observatory of Environment (OSU OREME, oreme.org). It is labeled in the framework of SNO TBL.","astronomy, exoplanet, magnetism, sno-tbl, spectropolarimetry, stars, tbl, telescopes",1553,"astronomy, cosmology, astronomical observatory, blettem, bl-lyot, illuminating-astronomy"
Percentage of individuals who used electronic idenitifcation (eID) to access online services for private purpose in the last 12 months,"ICA198, cso, information-society",2475,"ICA156, cso, information-society"
"Table of INEBase
Employed persons by economic sector and province. Quarterly. Provinces. Economically Active Population Survey","Agriculture, CNAE total, Construction, Economic sector, Industry, Labour market, Provinces, Services, Statistics",2053,"Age class, Provinces, Employment indicator, Geopolitical entity (reporting), Sex, Time frequency, Unit of measure"
Tractive power of locomotives and railcars by source of energy,"Geopolitical entity (reporting), Motor energy, Time frequency, Unit of measure, Vehicles",2005,"Geopolitical entity (reporting), Energy source, Time frequency, Unit of measure"
"Abstract: This data shows the discharge estimates for the current month for water monitoring stations in the Office of Public Works hydrometric network. 

Purpose: To support Flood Risk Management objectives through the collection of hydrometric data.","discharge, flood hazard, flood prevention, flood risk management, flooding, flow, hydrometric network, monitoring stations, risk analysis, water level",1582,"flood, flooding, hydrometric network, ie, risk assessment"
"Labour cost index shows the short-term development of the total cost, on an hourly basis, for employers of employing the labour force. The index covers all market economic activities except agriculture, forestry, fisheries, education, health, community, social and personal service activities. Labour costs include gross wages and salaries, employers social contributions and taxes net of subsidies connected to employment. The labour cost index is compiled as a ""chain-linked Laspeyres cost-index"" using a common index reference period (2016 = 100). The index is presented in calendar and seasonally adjusted form. Growth rates with respect to the previous quarter (Q/Q-1) are calculated from seasonally and calendar adjusted figures while growth rates with respect to the same quarter of the previous year (Q/Q-4) are calculated from calendar adjusted figures.","Geopolitical entity (reporting), Labour costs structure, Time frequency, Unit of measure",862,"Geopolitical entity (reporting), Labour costs structure, Seasonal adjustment, Time frequency, Unit of measure"
Use Table at Previous Year Prices (NACE Rev 2),"NIA18, cso, national-accounts",2489,"Geopolitical entity (reporting), Time frequency, Unit of measure"
"Harmonised Indices of Consumer Prices (HICP) are designed for international comparisons of consumer price inflation. HICPs are used for the assessment of the inflation convergence criterion as required under Article 121 of the Treaty of Amsterdam and by the ECB for assessing price stability for monetary policy purposes. The ECB defines price stability on the basis of the annual rate of change of the euro area HICP. HICPs are compiled on the basis of harmonised standards, binding for all Member States. Conceptually, the HICP are Laspeyres-type price indices and are computed as annual chain-indices allowing for weights changing each year. HICP are broken down by category of consumption expenditure on the basis of the ECOICOP-HICP classification. HICP are produced and published using a common index reference period (2015 = 100). Growth rates are calculated from published index levels. Indexes, as well as both growth rates with respect to the previous month (M/M-1) and with respect to the corresponding month of the previous year (M/M-12) are neither calendar nor seasonally adjusted.","Geopolitical entity (reporting), Time frequency, Unit of measure",728,"Geopolitical entity (reporting), Time frequency, Unit of measure"
Employed persons by working time spent on using digital devices and on another specific task (interacting with people from outside the enterprise or organisation),"Age class, Geopolitical entity (reporting), Sex, Time frequency, Unit of measure, Working time",1058,"Age class, Geopolitical entity (reporting), Sex, Time frequency, Unit of measure"
Students in post-compulsory education - as % of the total population of post-compulsory school age,"Geopolitical entity (reporting), Time frequency, Unit of measure",1989,"Geopolitical entity (reporting), Time frequency, Unit of measure"
"Dataset of manual bi-weekly snow profiles from Weissfluhjoch, Davos, Switzerland. Typical snow profile measurements and observations are included (temperature, density, grain size, grain type, hardness, wetness), following the guidelines of the The International Classification for Seasonal Snow on the Ground (ICSSG) [Fierz, C., Armstrong, R.L., Durand, Y., Etchevers, P., Greene, E., McClung, D.M., Nishimura, K., Satyawali, P.K. and Sokratov, S.A. 2009. The International Classification for Seasonal Snow on the Ground. IHP-VII Technical Documents in Hydrology N°83, IACS Contribution N°1, UNESCO-IHP, Paris].","snow-density, snow-ice-temperature, snow-stratigraphy, snow-water-equivalent, weisfluhjoch",1117,"ICSSG, snow, winter-climate"
"Employed persons by working time spent on manual tasks, full-time/part-time employment and economic activity","Age class, Geopolitical entity (reporting), Sex, Time frequency, Unit of measure, Working time",1060,"Age class, Geopolitical entity (reporting), Sex, Time frequency, Unit of measure, Working time"
"The dataset contains the analysis data of sampling of surface waters of the canton of Basel-Stadt since 1993. The data of the Rhine are excluded from this. Concentration data on different content and pollutants are provided with respect to the individual flow waters, as well as the geographical coordinates. https://www.aue.bs.ch/umweltanalytik/umweltdaten-gewaesser-feststoffe.html","chemie, fluss, messwert, rhein, rus, wasserqualitat, wassertemperatur",26,"Basel, Air quality, Monitoring data, Pollutants, sewage, water, water pollution, water analysis, water quality monitoring"
Business Expenditure on Research and Development,"BSA09, business-expenditure-on-research-and-development, cso",2638,"BSA23, business-expenditure-on-research-and-development, cso"
"The dataset includes area designated or managed within a framework of international, community and member states’ legislation to achieve specific conservation objectives. According to IUCN and adopted for the INSPIRE context a protected site is: An area of land and/or sea especially dedicated to the protection and maintenance of biological diversity, and of natural and associated cultural resources, and managed through legal or other effective means.","Inspire, National, Natur, Norge digitalt, Protected sites, fellesDatakatalog, geodataloven, protected sites",709,"biodiversity, biota, environment, ie, protected site, species distribution, conservation"
Thermal and mineral water use in the state of Salzburg,"HighValueDataset, Mineralwasser, Thermalwasser, Trinkwasser, Wasser, Wasserversorgung",981,"austrian-statistics, environment, health-research-board, ie, mineral-water, use-of-thermal-water"
Version: Q2 2022Release Date: 12/05/2022 (Date of QA publication)Release Notes: This release includes additional updates of registered owners field. Spatial Reference: Irish transverse MercatorDescription: All sites shown within the “PRA State Assets” layer are folios sourced from searching the prai database and are accurate from the date of that prai search. The registered owner field may have been changed to keep consistency throughout the database.The folio boundary data available on this site is derived from source data provided by the Property Registration Authority (PRA) and is subject to PRA copyright. The currency and accuracy of this data at the time of inspection cannot be guaranteed. Those Wishing to ensure that folio boundary data is the most accurate and up to date available should access this information through landdirect.ie.The information shown within the “PRA State Assets” layer showns sites we believe to be within the ownership of the state However at the time of completing this layer they were not registered with the prai. Please note the State Assets Sourced by the LDA sites have been manually sourced and drawn by the LDA and will be updated regularly.Please contact assetdatabase@lda.ie if we have shown any incorrect information or if we are missing State-owned assets within these layers.Access and Constraints: https://creativecommons.org/licenses/by/4.0/,"LDA, LDA Data, PRA State Assets, State Assets Database, State Land, State Ownership, dgigovernment",1620,"Land Development Agency, LDA, State Ownership"
"Expenditures of enterprises by area of expenditure, NACE Rev. 2 activity and size class (2022)","Enterprise, Expenditure and investment, Geopolitical entity (reporting), Time frequency, Unit of measure",866,"Area of expenditure, Geopolitical entity (reporting), Time frequency, Unit of measure"
"Table of INEBase
Average stay by tourist sites. Monthly. Municipalities. Campsite Occupancy Survey","Campsite Occupancy Survey, Catering and tourism, Municipalities, Statistics, Tourist supply",1534,"Tourist supply, Statistics"
Labour Force Participation Rate of Persons Aged 25-64 years,"EDQ04, cso, education",2505,"Geopolitical entity (reporting), Sex, Time frequency, Unit of measure"
"This data package contains information on the reach of licensed regional television stations in their licence area. It shows the net reach in %, i.e. the percentage of people in the population corresponding to the licence area who had at least one contact with the television programme. The data was collected by Mediapulse.","licensed-regional-television, reach, television",2969,"Broadcasting, Local Area Network, Regional Television"
"This data repository contains measurement data of different contacting techniques for lithium-ion battery lab testing. Electrical contact resistances (ECRs) are measured and provided alongside with lithium-ion battery test data for a high and low ECR compared to a laser-welded lithium-ion battery. The data can be used to evaluate the transferability of lab-level statements to automotive applications, if high charging currents are applied.","electrical-contact-resistance, fast-charging, lithium-ion-battery",2922,"battery-test, li-ion-battery, electrical-contact-resistance, lithium-ionic-batteries, testbed"
The accumulated settled solids separated from various types of water as a result of natural or artificial processes.,"Geopolitical entity (reporting), Time frequency, Unit of measure, Wastewater treatment plants",3013,"sediment, sedimentary-types, sedimentation, solids, water"
Industrial production - monthly data - vintages from 2021 onwards,"Geopolitical entity (reporting), Revision date, Seasonal adjustment, Time frequency, Unit of measure",1377,"Geopolitical entity (reporting), Time frequency, Unit of measure"
Passenger cars by unloaded weight,"Geopolitical entity (reporting), Time frequency, Unit of measure, Weight",1636,"Geopolitical entity (reporting), Time frequency, Unit of measure"
This Dataset shows the overall risk status result for Coastal waterbodies (2008). The risk status was calculated as part of the Article 5 characterisation and risk assessment report carried out on all waterbodies. It identified those at risk of failing the objectives of the Water Framework Directive 2000/60/EC.,"coastal water, environment, hydrography, ie, risk, score, status, surface water, water body, water framework directive, waterbody, wfd",298,"coastal heritage, environment, historic sites, ie, protected site, sea regions, society"
Index of total actual hours worked in the main job by sex and age group (2021 = 100) - quarterly data,"Age class, Geopolitical entity (reporting), Seasonal adjustment, Sex, Time frequency, Unit of measure",1291,"Age class, Geopolitical entity (reporting), Seasonal adjustment, Sex, Time frequency, Unit of measure"
"This is a polygon Dataset of the waste water treatment plants catchment areas in agglomerations (towns/cities) with a population equivalent of over 500. This Dataset also represents Certs of Authorisation (COAs) with a population equivalent of less than 500. Urban waste-water is the liquid Wastes deriving from domestic, commercial and industrial activities of an urban settlement. (Source RRDA).","agglomeration boundaries, agglomerations, environment, government, ie, industrial waste, sewage, sewage disposal, urban wastewater, uwwt, waste water",333,"environment, ie, industrial waste, plant locations, recycling, urban wastewater, waste water"
"The indicator is calculated by subtracting the world exports volume growth rate from the country exports volume growth rate. Eurostat's National accounts volumes for exports (as for all transactions concerning goods and services) are estimated in previous year prices to eliminate the influence of inflation. The volume growth rate is always calculated by comparing the year Y volume in previous year prices with the year Y-1 figure in current prices. The MIP indicator is expressed as percentage change comparing year Y with year Y-1. Data sources: Eurostat, online data code: nama_10_gdp (country's exports of goods and services) and IMF, World Economic Outlook (WEO) – world exports of goods and services.","Geopolitical entity (reporting), Time frequency, Unit of measure",197,"Country of destination, Geopolitical entity (reporting), Time frequency, Unit of measure"
Total hospital beds are all hospital beds which are regularly maintained and staffed and immediately available for the care of admitted patients.,"Geopolitical entity (reporting), Time frequency, Unit of measure",1490,"Geopolitical entity (reporting), Time frequency, Unit of measure"
Aggregate propensity to consume by degree of urbanisation - experimental statistics,"Degree of urbanisation, Geopolitical entity (reporting), Time frequency, Unit of measure",1835,"Degree of urbanisation, Geopolitical entity (reporting), Time frequency, Unit of measure"
Sewage sludge production and disposal,"Geopolitical entity (reporting), Time frequency, Unit of measure, Wastewater treatment plants",3025,"Geopolitical entity (reporting), Sewage sludge production and disposal, Time frequency, Unit of measure, Wastewater treatment plant"
Capital Acquisitions and Capital Sales in Industry,"QDA04, cso, industry",2239,"CVA05, cso, national-accounts"
"Population wanting to participate in education and training, by reason for not participating and educational attainment level","Age class, Geopolitical entity (reporting), Reason, Time frequency, Unit of measure",1766,"Age class, Geopolitical entity (reporting), Reason, Sex, Time frequency, Unit of measure"
"Establishments, bedrooms and bed-places in tourist accommodation","Accommodation unit, Geopolitical entity (reporting), Time frequency, Unit of measure",872,"Catering and tourism, Geopolitical entity (reporting), Time frequency, Unit of measure"
Tenure status by level of disability (activity limitation) and poverty status,"Geopolitical entity (reporting), Tenure status, Time frequency, Unit of measure",45,"Age class, Geopolitical entity (reporting), Sex, Time frequency, Unit of measure"
"This data repository contains a dataset of answers for a questionnaire on mental models with 37 items. The data was aquired in 2021 and contains answers of 75 german truck drivers, which filled out the survey after watching a brief explanation of the system.","adaptive-interface, human-factors-engineering, mental-model, questionnaire-construction, truck-drivers, user-study",2840,"human-machine-interaction, mental-models, personality-learning"
Forestry Scheme Payments,"FSPA01, cso, forestry",2554,"FSP16, cso, ecosystem-accounts"
"The Roscommon County Development Plan 2022-2028 is a document that sets out the overall strategy and vision for the proper planning and sustainable development of the county over the six year plan period. The Plan has been prepared in the context of the framework of national and regional strategies and guidelines, and must be prepared in accordance with the provisions of the Planning and Development Act 2000 (as amended). The Plan consists of a written statement and accompanying maps and can be found here: https://www.rosdevplan.ie/roscommon-county-development-plan-2022-2028/ . This web service represents a digital version of the datasets included in the Plan's accompanying maps. The County Development Plan is a material consideration in making decisions on future planning applications. Dataset Publisher: Roscommon County Council Dataset language: English Spatial Projection: Irish Transverse Mercator Date of Creation: 2022 Update Frequency: As Required Roscommon County Council provides this information with the understanding that it is not guaranteed to be accurate, correct or complete. Roscommon County Council accepts no liability for any loss or damage suffered by those using this data for any purpose.","2022, 2028, CDP, County Development Plan, Planning, planning and development",630,"2022, 2028, CDP, County Development Plan, planning"
"This dataset contains the results of simulations of linear and non-linear quarter vehicle models with an active suspension system travelling on different road profiles. Three different disturbance feedforward controls were used to control the active suspension, assuming the road profile is known in advance. However, instead of the real profiles, falsified profiles were input to the disturbance feedforward controllers to simulate various inaccuracies.","active-suspensions, disturbance-feedforward-control, quarter-vehicle, ride-comfort, ride-safety, road-profile-accuracy",2901,"active-suspension, autonomous-scooters, road-profile, shock-absorbing-seattle"
Trainsets and capacity by type of speed,"Geopolitical entity (reporting), Time frequency, Unit of measure, Vehicles",1986,"Geopolitical entity (reporting), Time frequency, Unit of measure, Vehicles"
Experience of sexual harassment in the previous 12 months by number of perpetrators (% of persons aged 18 years and over who experienced sexual harassment in the previous 12 months),"SVS251, crime-and-justice, cso",2626,"SVS219, crime-and-justice, cso"
Average Age of Population,"FY051B, census-2022, cso",2431,"Demographic indicator, Geopolitical entity (reporting), Time frequency, Unit of measure"
"Overall daily volume of antibiotics consumed (Defined Daily doses) per 1,000 population in Primary Care","HSPAE142, cso, department-of-health",2499,"HSPAG24, cso, department-of-health"
Household Debt Burden and Fragility Medians,"HFC35, cso, housing-and-households",2429,"HFC04, cso, housing-and-households"
"Data provided by the Marine Institute, and may also incorporate data from other agencies and bodies. Ireland’s ports play a crucial role in facilitating our economic growth and prosperity, as well as food security. Ports and harbours are key sites for land-sea interaction, acting as hubs for a wide range of activities that occur in the maritime area. The National Ports Policy (NPP) provides the framework for the provision of port services. Strategic development of ports is also supported through the Government’s National Development Plan and National Planning Framework.  In a European context, Regulation (EU) No 1315/2013 sets out a common framework for the creation of state-of-the-art, interoperable networks for the development of the internal market: the trans-European transport networks (TEN-T). The NMPF aims to safeguard the operation of ports as key actors in the economic wellbeing of the State through the provision of safe and sustainable maritime transport, and to facilitate a competitive and effective market for maritime transport services. NMPF policies also help to ensure adequate capacity to meet present and future demand and emphasises the need to adapt to the impacts of climate change.","Marine Spatial Planning, dgihousing, harbours, open data, ports, shipping",667,"Marine Spatial Planning, dgihousing, harbours, open data, ports, shipping"
"The unemployment rate is the number of unemployed persons as a percentage of the labour force (the total number of people employed and unemployed) based on International Labour Office (ILO) definition. Unemployed persons comprise persons aged 15 to 74 who fulfil all three following conditions: - are without work during the reference week; - are available to start work within the next two weeks; - have been actively seeking work in the past four weeks or have already found a job to start within the next three months. The indicator monitors high and persistent rates of unemployment and it helps to better understand the potential severity of macroeconomic imbalances. It points towards a potential misallocation of resources and general lack of adjustment capacity in the economy. The MIP scoreboard indicator is the three-year backward moving average, i.e. the data for year Y is the arithmetic average of data for years Y, Y-1 and Y-2. It is calculated: [URt+URt-1+URt-2]/3. The indicative threshold is 10%. The data source is the quarterly EU Labour Force Survey (EU LFS). The EU LFS covers the resident population in private households.","Age class, Geopolitical entity (reporting), Sex, Time frequency, Unit of measure",1143,"Age class, Geopolitical entity (reporting), Sex, Time frequency, Unit of measure"
"This dataset presents findings from environmental impact assessments conducted from 2005 to 2023 in different OWFs of the BPNS. Samples were collected by means of Van Veen grab of 0.1m². Some samples belonging to the monitoring of one turbine (D5) in C-Power were collected by divers a differents distances (1, 7, 15, 25, 50, 100, 200 m) from the scour protection layer in 2010, 2011 and 2012. Subsamples of each Van Veen were taken for grain size analysis, and total organic matter content analysis. The remaining part of the Van Veen were sieved over a 1 mm sieve on board and stored in a 4% formaldehyde-seawater solution. In the laboratory, the samples were stained with 1% Rose Bengal, and rinsed over a 1 mm sieve. The organisms were counted and identified to the lowest possible taxonomic level (generally: species level). The organisms were also weighted using the ash-free dry weight (2005 to 2013) and the blotted wet weight (2014 onwards). The samples were then stored in a 4% buffered formaldehyde solution"".","Macrobenthos communities, offshore wind farm, sea bed, seabed sediments",803,"marine sediments, scour protection layer, hydrocarbons, hydroelectricity, open data, seabed sediments"
"The Turnover Index is a business cycle indicator showing the monthly evolution of the market of goods and services in the industrial sector. It also records the evolution of turnover over longer periods of time. The turnover of industry index is not deflated. It is therefore the objective of this indicator to measure the market activity in the industrial sector in value. Data are compiled according to the Statistical classification of economic activities in the European Community, (NACE Rev. 2, Eurostat). Industrial turnover is compiled as a ""fixed base year Laspeyres type volume-index"". The current base year is 2021 (Index 2021 = 100). The index is presented in calendar and seasonally adjusted form. Growth rates with respect to the previous month (M/M-1) are calculated from calendar and seasonally adjusted figures while growth rates with respect to the same month of the previous year (M/M-12) are calculated from calendar adjusted figures.","Business trend indicator, Geopolitical entity (reporting), Time frequency, Unit of measure",2,"Business trend indicator, Geopolitical entity (reporting), Time frequency, Unit of measure"
"Strategic Flood Risk assessments relating to the Settlements contained in the 2022 to 2028 County Development Plan. Zone A: Where the probability of flooding from rivers and the sea is highest (greater than 1 % or 1 in 100 for river flooding or 0.5 % or 1 in 200 for coastal flooding) Zone from B: Where the probability of flooding from rivers and the sea is moderate (between 0.1 % or 1 in 1000 and 1 % or 1 in 100 for river flooding and between 0.1 % or 1 in 1000 year and 0.5 % or 1 in 200 for coastal flooding) Galway County Council provides this information with the understanding that it is not guaranteed to be accurate, correct, or complete. Galway County Council accepts no liability for any loss or damage suffered by those using this data for any purpose","2022, CDP 2022, Development Plan, Flood, Galway, Galway County Council, Planning, Planning and Development, SFRA, dgihousing",1726,"2022, CDP 2022-28, Development Plan, Galway, Galways County Council, Planning, Planning and Development, St. Anns, dgihousing"
"This file contains original variables from Theme 12 Disability and Carers from Census 2006 &amp; 2011 and a series of additional variables produced by AIRO such as percentage rates, ratios etc. The file includes data on Persons with a Disability, Carers by Hours worked, and General Health for the 3,406 Electoral Divisions in the Republic of Ireland.","economy, health, health care, health facility, health protection, health service, ireland, planningcadastre, services, society",305,"economy, health, health care, health facility, ireland, planningcadastre, society"
Mean and Median earnings per hour and paid weekly hours,"SES19, cso, earnings",2796,"EHQ13, cso, earnings"
Median weekly earnings of persons released from prison,"CPLJS10, crime-and-justice, cso",2775,"CPLJS19, crime-and-justice, cso"
"Persons with financial burden of health care by sex, age, level of disability (activity limitation), type of health care and level of difficulty","Age class, Geopolitical entity (reporting), Health care, Level of difficulty, Sex, Time frequency, Unit of measure",1651,"Age class, Geopolitical entity (reporting), Level of difficulty, Sex, Time frequency, Unit of measure"
Anonymized consumption data from Umeå Energy per key code area in Umeå Municipality. This data should not be seen as exact and complete consumption values ​​but rather as a qualified estimate of consumption in order to see trends and indications.The data files will only contain values ​​for properties in Umeå municipality where Umeå Energi is the network owner and the information is not considered inappropriate for distribution. Normally updated once a month with new values ​​added.Questions regarding this consumption data are referred to matdata.datalager@umeaenergi.se,"Consumption, District heating, Electricity, Energy",827,"Consumption, District heating, Electricity, Energy"
Asylum decisions at first instance by type of decision - % of total decisions at first instance,"Decision, Geopolitical entity (reporting), Time frequency, Unit of measure",1942,"Decision, Geopolitical entity (reporting), Time frequency, Unit of measure"
"The indicator measures the difference between the employment rates of men and women aged 20 to 64. The employment rate is calculated by dividing the number of persons aged 20 to 64 in employment by the total population of the same age group. The indicator shows activity and employment status for four groups of persons: employed persons working full time, employed persons working part time, employed persons with temporary contract and underemployed persons working part time. The indicator is based on the EU Labour Force Survey.","Age class, Geopolitical entity (reporting), Time frequency, Unit of measure",1314,"Age class, Employment indicator, Geopolitical entity (reporting), Sex, Time frequency, Unit of measure"
"Scores of Children aged 15 years based on OECD-PISA Reading, Mathematics and Science Literary Scales","SCA32, cso, department-of-children-equality-disability-integration-and-youth",2439,"Languages, Pedagogy, Statistical information, Time frequency"
"This data set is a collection of slope deformation data until failure with a timely resolution of daily or better. This data collection belongs to the article: Leinauer J., Weber S., Cicoira A., Beutel J. and Krautblatter M. (2023): An approach for prospective forecasting of rock slope failure time; Commun. Earth Environ.","deformation, early-warning, failure, landslide, monitoring, natural-hazard, slope-instability",2933,"dgicollection, data, geologic-risk-zones, hazard-analysis, irradiation, mine, opendata, slope-deformation"
