updated_description,updated_keywords,__index_level_0__,generated_keywords
"Please see FAQ for latest information on COVID-19 Data Hub data flows: https://covid-19.geohive.ie/pages/helpfaqs . Notice: See the Technical Data Issues section in the FAQ for information about issues in data: https://covid-19.geohive.ie/pages/helpfaqs . Deaths : From 16th May 2022 onwards, reporting of Notified Deaths will be weekly (each Wednesday) with total deaths notified since the previous Wednesday reported. This is based on the date on which a death was notified on CIDR, not the date on which the death occurred. Data on deaths by date of death is available on the new HPSC Epidemiology of COVID-19 Data Hub https://epi-covid-19-hpscireland.hub.arcgis.com/ . This Layer contains Covid-19 Daily Statistics for Ireland by County polygon as reported by the Health Protection Surveillance Centre. This service is updated once a week, each Wednesday, which includes data for the full time series.","County, Covid, HSPC, Ireland, dgihealth, health",787,Covid-19
Overcrowding rate by household type - total population - EU-SILC survey,"Geopolitical entity (reporting), Time frequency, Type of household, Unit of measure",117,household type
Suspected Offenders of recorded Crime by offence group and sanction type,"RCD10, crime-and-justice, cso",2709,cybercrime
"Employment by reason for discrimination in the current job, sex, age, migration status and professional status","Age class, Geopolitical entity (reporting), Migration status, Reason, Sex, Time frequency, Unit of measure",1095,"gender, age, migration status"
Expenditure on public educational institutions - as % of total or current expenditure,"Expenditure and investment, Geopolitical entity (reporting), Time frequency, Unit of measure",1958,"expenditure, public, educational, total"
Drinking water protection zones I and II as areas where geothermal probes are not permitted,"Boden, Datenkatalog, OGC::WMS, infoManagementService, infoMapAccessService, opendata",1764,"area, geothermal, zone"
"Table of INEBase
Interannual variation rate for travellers and overnight stays. Monthly. National. Hostel Occupancy Survey","Catering and tourism, Guests, Hostel Occupancy Survey, Overnight stays, Residence, Residents abroad, Residents in Spain, Statistics, Tourist supply, Touristic Concept",1523,"inebase, overnight stay, traveller, fluctuation"
"Distribution of population aged 18 and over by occupation, income group and sex - EU-SILC survey","Geopolitical entity (reporting), Sex, Time frequency, Unit of measure",97,income group population age 18 and over
Hospital Admissions for Non-Residents,"HRA32, cso, health-research-board",2516,non-resident
COVID-19 Vaccination Rates,"CDC47, cso, health",2328,COVID-19
Admissions of Children to Psychiatric Hospitals/Units and to Child and Adolescent Units,"SCA21, cso, department-of-children-equality-disability-integration-and-youth",2576,"admission, adolescence, child"
Transport by type of good (country/regional flows from 2007 onwards),"Country/region of loading/embarking, Country/region of unloading/disembarking, Geopolitical entity (reporting), 20 group), Time frequency, Unit of measure",1564,"country, region"
Total hospital beds are all hospital beds which are regularly maintained and staffed and immediately available for the care of admitted patients.,"Geopolitical entity (reporting), Time frequency, Unit of measure",1490,hospital bed
"Long term government bond yields are calculated as monthly averages (non seasonally adjusted data). They refer to central government bond yields on the secondary market, gross of tax, with a residual maturity of around 10 years. The bond or the bonds of the basket have to be replaced regularly to avoid any maturity drift. This definition is used in the convergence criteria of the Economic and Monetary Union for long-term interest rates, as required under Article 121 of the Treaty of Amsterdam and the Protocol on the convergence criteria. Data are presented in raw form. Source: European Central Bank (ECB)","Geopolitical entity (reporting), Interest rate, Time frequency",1158,government bond yields
Empty and loaded intermodal transport units,"Geopolitical entity (reporting), Loading status, Time frequency, Transport coverage, Type of cargo, Unit of measure",1437,"empty, intermodal, load"
"Continuous superconducting relative Gravimeter data from the Larzac observatory (SO GEK) hosted by the Mediterranean Research Observatory of Environment (OSU OREME, http://www.oreme.org) and the National Hydrogeological sites network (SNO H+, http://hplus.ore.fr/). Data are measured on La Jasse site (L’HOSPITALET-DU-LARZAC, AVEYRON, France).","atmosphere, atmospheric-conditions, environmental-monitoring-facilities, gek, geodesy, geology, geophysics, hydrogeology, karst, meteorological-geographical-features, sno-h, soils",1571,aveyron location
Employment and population- international data cooperation annual data,"Geopolitical entity (reporting), Time frequency, Unit of measure",457,employment cooperation
Infant and Neonatal Mortality,"VSD52, births-deaths-and-marriages, cso",2283,infant and neonatal mortality
"Table of INEBase
Population aged 16 and over by Autonomous Community and relationship with economic activity in the current quarter according to their relationship with economic activity in the previous quarter. Quarterly. Autonomous Communities and Cities. Economically Active Population Flows","Autonomous Comunity, Employed persons, Inactive persons, Labour market, No data recorded, Statistics, Unemployed persons",2054,"autonomous community, economic activity"
"Animal housing by type of bovine, utilised agricultural area, size classes of livestock units and NUTS 2 region","Animal housing, Farm type, Geopolitical entity (reporting), Live animals, Statistical information, Time frequency, Unit of measure, Utilised agricultural area",1603,animal housing animal
In-work at-risk-of-poverty rate by household type - EU-SILC survey,"Geopolitical entity (reporting), Time frequency, Type of household, Unit of measure",107,household
The adjusted gross disposable income of households per capita in PPS is calculated as the adjusted gross disposable income of households and Non-Profit Institutions Serving Households (NPISH) divided by the purchasing power parities (PPP) of the actual individual consumption of households and by the total resident population.,"Direction of flow, Geopolitical entity (reporting), Sector, Time frequency, Unit of measure",2029,a.gril disposable income household per capita
Detailed Dental treatments,"DTA07, cso, health",2407,Detailed dental treatments
House price index (2015 = 100) - annual data,"Geopolitical entity (reporting), Purchases, Time frequency, Unit of measure",3019,house price index
"This data set contains details of Specific Objective
Lines as per Adopted 2023 - 2029 Fingal
Development Plan","County Development, County Development Plan, DP2329, Development Plan 2017-2023, Development Plan 2023-2029, Dublin, Fingal, Fingal County Council, Ireland, Planning, Planning  Cadastral",550,adopt 2023-2029
Gender Balance of Senior Executives,"GBA02, business-sectors, cso",2250,"executive, gender"
"Women who have experienced violence by any perpetrator, by age group","Age class, Geopolitical entity (reporting), Time frequency, Unit of measure",3093,age
"Meetnetten.be - Egg counts for butterflies in Flanders, Belgium is a sampling event dataset published by the Research Institute of Nature and Forest (INBO). It is part of the Meetnetten.be suite of monitoring networks for priority species in Flanders, in which data are collected at fixed locations using a standardized protocol (https://meetnetten.be). This dataset contains egg counts for 1 priority butterfly species (Phengaris alcon). Here it is published as a standardized Darwin Core Archive and includes for each sampling event an eventID, date, location and sampling protocol (in the event core) and for each occurrence an occurrenceID, the number of recorded individuals, status (present/absent) and scientific name (in the occurrence extension). Issues with the dataset can be reported at Issues with the dataset can be reported at https://github.com/inbo/meetnets-occurrences/issues
Generalized and/or withheld information: as these are sensitive priority species, location information is generalized to 1, 5 or 10 km Universal Transverse Mercator (UTM) grid cells. Original locations are available upon request.
We have released this dataset to the public domain under a Creative Commons Zero waiver. We would appreciate it if you follow the INBO norms for data use (https://www.inbo.be/en/norms-data-use) when using the data. If you have any questions regarding this dataset, don't hesitate to contact us via the contact information provided in the metadata or via opendata@inbo.be. 
For all published Meetnetten.be datasets, see https://www.gbif.org/dataset/search?project_id=meetnetten.be","Lepidoptera, Samplingevent, butterflies, monitoring, priority species",1368,"Meetnetten.be - Egg counts for butterflies in Flanders, Belgium"
Recorded Crime - Clondalkin,"SNSA38, cso, sub-national-statistics",2543,Clondalkin
The theme includes the extensive representation of the federal waterway Elbe in the urban area of Dresden.,"Datenkatalog, Gewässernetz, OGC::WMS, infoManagementService, infoMapAccessService, opendata",1012,decken
"Gross domestic product (GDP) is a measure for the economic activity. It is defined as the value of all goods and services produced less the value of any goods or services used in their creation. GDP per person employed is intended to give an overall impression of the productivity of national economies expressed in relation to the European Union average. If the index of a country is higher than 100, this country's level of GDP per person employed is higher than the EU average and vice versa. Basic figures are expressed in PPS, i.e. a common currency that eliminates the differences in price levels between countries allowing meaningful volume comparisons of GDP between countries. Please note that 'persons employed' does not distinguish between full-time and part-time employment. Labour productivity per hour worked is calculated as real output per unit of labour input (measured by the total number of hours worked). Measuring labour productivity per hour worked provides a better picture of productivity developments in the economy than labour productivity per person employed, as it eliminates differences in the full time/part time composition of the workforce across countries and years.","Geopolitical entity (reporting), Time frequency, Unit of measure",694,"GDP, total"
"Young people by educational attainment level, sex and age","Age class, Geopolitical entity (reporting), Sex, Time frequency, Unit of measure",1264,"age, sex, education"
Trade by exports intensity,"Geopolitical entity (partner), Geopolitical entity (reporting), Stock or flow, Time frequency, Unit of measure",3111,trade intensity
Total Births and Deaths Registered,"VSA03, births-deaths-and-marriages, cso",2288,births and deaths
Key indicators - quarterly data,"Geopolitical entity (reporting), Seasonal adjustment, Sector, Time frequency, Unit of measure",1817,"indicator, quarterly, data"
Value Profile of New Cars Registered,"RTA01, cso, revenue-commissioners-tax-and-customs-statistics",2551,new car registered
"Table of INEBase
Guests and overnight stays by  Provinces. Monthly. Rural Tourist Accommodation Occupancy Survey","Catering and tourism, Guests, Overnight stays, Provinces, Residence, Residents abroad, Residents in Spain, Statistics, Tourist supply, Touristic Concept",1529,guest overnight stays
Persons who cannot afford a personal car - EU-SILC survey,"Geopolitical entity (reporting), Time frequency, Type of household, Unit of measure",164,"accomodation, person"
"Table of INEBase
Rural Tourism Accommodation Price Index interannual variation rates and indices by Autonomous Communities. Monthly. Autonomous Communities and Cities","Annual variation rate, Catering and tourism, Index, Prices, Statistics, Type of data",1530,"Autonomous Community, Locality, City"
Gross General Government Debt ESA2010 as a percentage of Gross Domestic Product,"GFA12, cso, government-accounts",2352,Gross general government debt
Internet graph for cloud datacenter to user interconnections collected over RIPE Atlas. The dataset accompanies research article “(How Much) Can Edge Computing Change Network Latency?” accepted at IFIP Networking 2021,"cloud, cloud-connectivity, edge-computing, internet-graph, internet-measurements, ripe-atlas",2863,"cloud, interconnections, edge"
"Employees by sex, age, migration status and type of employment contract","Age class, Geopolitical entity (reporting), Migration status, Sex, Time frequency, Unit of measure",1235,"Age, migration status, type of contract"
"Museums, Collections and Archives Dataset created and managed by the Heritage Council. This Dataset is a comprehensive record of natural and cultural heritage facilities open to the public across the island of Ireland. The Dataset was created to provide a comprehensive list of these types of heritage facility throughout Ireland, providing a temporal basis for research within this sector. The Dataset was also created to provide a map that would enable researchers and Tourists to search for natural and cultural heritage facilities geographically and by category. The Dataset includes information on each facility’s exhibitions, address and contact details.","archives, art, buildings, collections, cultural facility, cultural heritage, economy, heritage, ireland, museum, society",355,irish
"Inland waterway transport by type of cargo, type of goods and coverage","Geopolitical entity (reporting), 20 group), Time frequency, Transport coverage, Type of cargo, Unit of measure",2126,"cargo, goods, coverage"
"Galway County Landscape Value Ratings. Produced as part of the Galway County Development Plan 2015 - 2021. See www.galway.ie for further details. Galway County Council provides this information with the understanding that it is not guaranteed to be accurate, correct, or complete. Galway County Council accepts no liability for any loss or damage suffered by those using this data for any purpose.","Development Plan, Galway, Galway County Council, Landscape, Planning, Planning and Development, dgienvironment, dgihousing, value",783,Galway County
Practicing Nurses aged 55 and over,"HSPAM114, cso, department-of-health",2207,"avengers, nurse, practiced"
Average seniority of work with the same employer and Nace Rev. 2 activity,"Duration, Geopolitical entity (reporting), Time frequency, Unit of measure",1094,"employer, seniority, work"
"Produced as part of the Galway
County Development Plan 2022-2028. See Volume 2 and www.galway.ie for further details. The Settlements listed and contained in Volume2 are identified under the following settlement hierarchy which is explained further in Chapter 2 Core Strategy, Settlement Strategy and Housing Strategy. Metropolitan Area Strategic Plan: Baile Chláir Bearna Oranmore Briarhill Urban Framework Plan Garraun Urban Framework Plan Small Growth Towns: Clifden Headford Maigh Cuilinn Oughterard Portumna Small Growth Villages An Cheathrú Rua An Spidéal Ballygar Dunmore Glenamadd<o:p></o:p> Kinvara Moylough Additional Zonings Opposite Galway Airport Sruthan Quay (An Cheathrú Rua) Galway County Council provides this information with the understanding that it is not guaranteed to be accurate, correct, or complete. Galway County Council accepts no liability for any loss or damage suffered by those using this data for any purpose.","2022, CDP 2022, Development Plan, Galway, Galway County Council, Planning, Planning and Development, Settlement, dgihousing",1722,"chilwell, county council, headford"
"This dataset represents the geographical sections of departmental roads qualified by their level of traffic, all vehicles and heavy goods vehicles. This is the 2018 traffic map.","2018, isere, mobilites, routes, trafic",443,departmentalroads
"Data on Government Budget Appropriations or Outlays on Research and Development (GBAORD) refer to budget provisions, not to actual expenditure, i.e. GBAORD measures government support for R&D using data collected from budgets. This table shows the shares of GBAORD allocated to the socio-economic objectives defence and total civil R&D.","Geopolitical entity (reporting), Time frequency, Unit of measure",1943,data on government budget appropriations or outlays on research and development
"The requirement to hold a Waste Collection Permit is in accordance with section 34(1) of the Waste Management Act 1996 (as amended). A permit is required by anyone collecting Waste on a commercial basis to ensure that the Waste is gathered, sorted and transported correctly. The revised Waste Management (Collection Permit) Regulations 2007 (S.I. 820 of 2007 &amp; S.I. 87 of 2008) came into effect on 1st of June 2008. It is recommended that this dataset is read in conjunction with the ‘Certificate of Registration Locations SDCC’ dataset.","Environment, Permits, Recycling and Waste, SDCC, Waste",516,Collection of waste
Allocation of the catchment area to a higher-level water system,"Datenkatalog, Gewässernetz, INSPIRE_SVDD, OGC::WFS, infoFeatureAccessService, infoManagementService, opendata",1794,allocation
Household Gross and Net Wealth,"HFC42, cso, housing-and-households",2428,household wealth
"This dataset is part of the 2018 Belgian submission for the Marine Strategy Framework Directive (MSFD) linked to descriptor 10, criterion 1. The seafloor dataset describes the litter gathered between 2012 and 2014 during beam trawl (BTS) fishery surveys in the Belgian part of the North Sea (BPNS). It provides the date, location and haul information, type of litter found and information in the size of the items. Additionally the ship name and cruise references are reported. The data is recorded following ICES guidelines allowing future inclusion in the ICES online database DATRAS (Database of Trawl Survery).
The sludge dataset describes the litter found between 2013 and 2016 on dredge disposal sites located in the coastal area of the Belgian part of the North Sea (BPNS). It provides the date, location, amount and type of litter as well as methodological information (e.g. mesh size). Additionally, the ship name and cruise references are reported.
The beach litter dataset contains information on beach litter for the period 2012-2016 washed ashore on two reference beaches (Oostende Halve Maan & Oostende Raversijde). 40 surveys (100m transects) have been executed until January 2017. Monitoring & data recording has been done according to the OSPAR Guideline for Monitoring Marine Litter on the beaches in the OSPAR maritime area (OSPAR, 2010). Besides the number of litter items, the category is also noted. The dataset is characterized by a high variation in the number of items. The data are reported to OSPAR beach litter database.
Conclusions: see https://odnature.naturalsciences.be/msfd/nl/assessments/2018/page-d10","Federal government, National, Reporting INSPIRE, Sea regions, litter, marine monitoring, pollution monitoring",822,litter
Median consumption by income decile - experimental statistics,"Geopolitical entity (reporting), Income quantile, Time frequency, Unit of measure",1848,"consumption, income, decile"
"Polluted areas (air) to § 3(8) Environmental Impact Assessment Act 2000 with the objective of reducing air pollutants NO2 in accordance with § 1 of the 483rd Ordinance of the BMLFUW, issued on 19.12.2008","HighValueDataset, NO, NO2, geodaten, luft, luftbelastung, luftschadstoff, schadstoff, stickstoffdioxid, tiris, tirol, tyrol",2976,air
Other changes in volume - annual data,"Consolidated/Non consolidated, Financial position, Geopolitical entity (reporting), Sector, Time frequency, Unit of measure",845,"other, change, volume"
"Population by educational attainment level, sex and age (%) - main indicators","Age class, Geopolitical entity (reporting), Sex, Time frequency, Unit of measure",1265,"populace education, gender, age"
Imitation in daily activities among persons aged 65 and over,"HSPAE123, cso, department-of-health",2670,age groups
Median weekly earnings of probationers,"CPLJS07, crime-and-justice, cso",2776,probationer
"Persons performing physical activity outside working time by duration in a typical week, most frequent activity status, income quantile and degree of urbanization","Degree of urbanisation, Duration, Geopolitical entity (reporting), Income quantile, Time frequency, Unit of measure",1669,"urbanization, income, work time"
The theme includes the schematic representation of the river troughs of the Elbe (Flutrinne Kaditz and Ostragehege) with water name (GEWNA) and the data source (base). This is not a representation of the shoreline within the meaning of § 27 SächsWG.,"Datenkatalog, Gewässernetz, OGC::WFS, infoFeatureAccessService, infoManagementService, opendata",1015,"(Elbe), Elbe, Kaditz"
Culture and tourism - cities and greater cities,"Geopolitical entity (declaring), Time frequency, Urban audit indicator",492,"city, culture, tourism"
"As part of the joint federal / Länder measurement program for the North and Baltic Seas, the parameter ""indeno(1,2,3-c.d)pyrene in sea water"" was determined in seawater.","2023, BSH, Baltic Sea, ICDP, Monitoring, North Sea, Open Data, Pyrene, Water, open data, opendata",1800,"indeno(1,2,3-c.d)pyrene"
Labour productivity and unit labour costs at industry level,"Geopolitical entity (reporting), Time frequency, Unit of measure",716,labour productivity labour costs
One Parent Family Payments per 100 families with a child under 20 years,"SNSA12, cso, sub-national-statistics",2565,"census, children, one-parent-family, payments, family"
"MAP and create a database of basic information on every graveyard or Burial ground in the county — including those no longer or not currently in use and those not in the care of Roscommon County Council. ongoing. Roscommon County Council provides this information with the understanding that it is not guaranteed to be accurate, correct or complete. Roscommon County Council accepts no liability for any loss or damage suffered by those using this data for any purpose.","Graveyard, Heritage, OpenSpatialIE, Roscommon, Roscommon County Council, Survey, dgiarts",1736,Roscommon county
"The gross investment rate of households is defined as gross fixed capital formation (ESA 2010 code: P51g) divided by gross disposable income (B6g), with the latter being adjusted for the change in the net equity of households in pension funds reserves (D8net). Household investment mainly consists of the purchase and renovation of dwellings. Indicator described is calculated on the basis of quarterly sector accounts data by institutional sectors. Household sector comprises all households, household firms and Non Profit Institutions Serving Households (NPISH) (ESA 2010 codes S14 and S15). Sector accounts are compiled in accordance with European System of Accounts (ESA 2010). Data are expressed in percentage, in non-seasonal adjusted as well as in seasonal and calendar adjusted form.","Geopolitical entity (reporting), Seasonal adjustment, Sector, Time frequency, Unit of measure",1820,b6g
New passenger cars by type of motor energy,"Geopolitical entity (reporting), Motor energy, Time frequency, Unit of measure",1626,"car, engine, new"
Characteristics of Residential Property Purchasers,"CRP08, cso, housing-and-households",2671,ian
"This dataset presents findings from an environmental impact assessment conducted along a gradient extending northeastward from a shellfish farm concession zone. Samples were collected at 20 locations in 2021, and then 10 in 2022 and 2023, using a 0.1 m² Van Veen Grab, assessing sediment grain size distribution and total organic carbon content. Macrobenthos samples were preserved, stained, and analyzed in the laboratory.","Macrobenthos communities, macrobenthos, marine sediment, seabed sediments",1364,"extract, sediment, sampling"
"The indicator is defined as the percentage of the population aged 15-64 who are economically active. According to the definitions of the International Labour Organisation (ILO) people are classified as employed, unemployed and economically inactive for the purposes of labour market statistics. The economically active population (also called labour force) is the sum of employed and unemployed persons. Inactive persons are those who, during the reference week, were neither employed nor unemployed. The indicator is based on the EU Labour Force Survey.","Age class, Employment indicator, Geopolitical entity (reporting), Sex, Time frequency, Unit of measure",1142,"economic_active_poverty%, unemployed, inactive"
Pupils enrolled in primary education by sex and age,"Age class, Geopolitical entity (reporting), Sex, Time frequency, Unit of measure",221,"sex, age"
New Group Layer,"Community, Facilities, SDCC, South Dublin, Sports, Youth",567,negro
"This dataset contains 148 measurements recorded during real-world driving situations. The overall dataset contains measurements of (1) the high-voltage battery (e.g., current, voltages, temperatures, SOC), (2) the powertrain (e.g., rotation, torque, temperature), and (3) the vehicle (e.g., speed, mileage). Data availability may vary between the measurements as the general objectives of the measurements differed during the aquisition. All measurements are provided as .csv and .mat files for fast processing in downstream applications.","battery-aging, battery-electric-vehicle, electric-powertrain-efficiency, lithium-ion-battery, state-of-the-art, teardown-analysis",2897,"battery, torque, temperature"
"Decisions granting temporary protection by citizenship, age and sex - quarterly data","Age class, Country of citizenship, Geopolitical entity (reporting), Sex, Time frequency, Unit of measure",890,"citizenship, age and sex"
Broadband Speed,"ICA230, cso, information-society",2447,broadband speed
"Employment rate by sex, age groups, educational attainment level and household composition (%)","Age class, Geopolitical entity (reporting), Household composition, Sex, Time frequency, Unit of measure",1185,"employment rate, age groups, educational attainment level, household composition"
"Hospital Discharges of In-Patients, Daycases and Length of Stay (National Data)","DHA42, cso, department-of-health",2664,"in-patient, idiopathic"
"Dataset Publisher: Roscommon County Council, Dataset language: English, Spatial Projection: Web Mercator, Date of Creation:
2011, Update Frequency: Of Required. Roscommon County Council provides this information with the understanding that it is not guaranteed to be accurate, correct or complete.
Roscommon County Council accepts no liability for any loss or damage suffered by those using this data for any purpose.","Community, OpenSpatialIE, Playgrounds, Population and Society, Public Services, Recreation, Roscommon, Roscommon County Council, dgihealth",1738,"English language, Roscommon County Council, 2011"
Modified Current Account and Its Components,"BPA39, cso, international-accounts",2692,cash account (financial)
The data set comprises the,"afp, consolidation, prepreg, thermoset",2945,"category, country, city, district, type, type"
Cultural employment by sex,"Geopolitical entity (reporting), Sex, Time frequency, Unit of measure",2133,gender
"Galway County Protected Focal Points and Views. Produced as part of the Galway County Development Plan 2015 - 2021. See www.galway.ie for further details. County Galway has many important focal points from which views and vistas of great natural beauty may be viewed. These focal points and views have a very important amenity, tourism, economic and cultural value for the County and its people. It is therefore important to protect and conserve these views and vistas and development where permitted should not hinder or obstruct these views and vistas but should be located and designed in a manner so as not to negatively impact on these focal points and views. Galway County Council provides this information with the understanding that it is not guaranteed to be accurate, correct, or complete. Galway County Council accepts no liability for any loss or damage suffered by those using this data for any purpose.","Focal Points, Galway, Galway County Council, Planning, Planning and Development, Views, development plan, dgienvironment, dgihousing",782,Galway county protected focal points and views
"Persons participating in in cultural or sport activities in the last 12 months by income quintile, household composition, degree of urbanisation, activity type and frequency","Degree of urbanisation, Frequency, Geopolitical entity (reporting), Household composition, Income quantile, Time frequency, Unit of measure",1692,cultural activity type
Anonymized consumption data from Umeå Energy per key code area in Umeå Municipality. This data should not be seen as exact and complete consumption values ​​but rather as a qualified estimate of consumption in order to see trends and indications.The data files will only contain values ​​for properties in Umeå municipality where Umeå Energi is the network owner and the information is not considered inappropriate for distribution. Normally updated once a month with new values ​​added.Questions regarding this consumption data are referred to matdata.datalager@umeaenergi.se,"Consumption, District heating, Electricity, Energy",825,olema sweden
"Employed persons by level of repetitiveness of tasks, educational attainment level and professional status","Age class, Geopolitical entity (reporting), Level of repetitiveness, Sex, Time frequency, Unit of measure",1069,"employer, repetitiveness"
Daycase Admissions,"HIS25, cso, department-of-health",2717,daycase admissions
This data set contains the detail of Beach Water Quality within Fingal County Council for the Bathing Season 15th to 9th September 2023 The European Union and EPA set standards for the quality of Bathing Waters in member states. Fingal County Council monitors the water at the beaches from 15th May to 9th September 2023. These bacteria are not visible and so water samples are taken and tested in a laboratory and ratings are issued for each bee. Poor Good Sufficient Data from Fingal Beach Bathing Season 2023.,"Beaches, Environment, Environment and Energy, Health, Recreation, Water, Water Quality Management",2998,"beach, bathing, england, Fingal, county, council, season"
"This dataset represents main data about the cores of Belgian boreholes that are stored by the Royal Belgian Institute of Natural Sciences. Data is distributed as shapefile with multiple meta-infomations such as unique borehole reference, depth, location, lithology and a link to access the core and lithological descriptions.","Borehole, Collection, Federal government, Geology, Reporting INSPIRE",1407,lithology
"Dataset downloaded from MIDA - http://mida.ucc.ie/


Dataset attributed with ‘Name’, ‘Fish Type’ &amp; ‘Tonnage’","coastal heritage, environment, fishing ports, heritage council, oceans, sea regions",383,fish type
"Table of INEBase
Number of stays and nights by traveller residence. Tourist sites. Monthly. Municipalities. Occupation in tourist accommodations","Average stay, Municipalities, Number of nights, Number of stays, Residence, Residents abroad, Residents in Spain, Statistics, Touristic Concept",1367,number of stays and nights by traveller residence
